case,brain,liver,tlratio,solution,sactime,postin,sex,wt.init,wt.loss,wt.tumor
1,41081,1456164,0.02821,BD,0.5,10,F,239,5.9,221
2,44286,1602171,0.02764,BD,0.5,10,F,225,4,246
3,102926,1601936,0.06425,BD,0.5,10,F,224,-4.9,61
4,25927,1776411,0.0146,BD,0.5,10,F,184,9.8,168
5,42643,1351184,0.03156,BD,0.5,10,F,250,6,164
6,31342,1790863,0.0175,NS,0.5,10,F,196,7.7,260
7,22815,1633386,0.01397,NS,0.5,10,F,200,0.5,27
8,16629,1618757,0.01027,NS,0.5,10,F,273,4,308
9,22315,1567602,0.01424,NS,0.5,10,F,216,2.8,93
10,77961,1060057,0.07354,BD,3,10,F,267,2.6,73
11,73178,715581,0.10226,BD,3,10,F,263,1.1,25
12,76167,620145,0.12282,BD,3,10,F,228,0,133
13,123730,1068423,0.11581,BD,3,9,F,261,3.4,203
14,25569,721436,0.03544,NS,3,9,F,253,5.9,159
15,33803,1019352,0.03316,NS,3,10,F,234,0.1,264
16,24512,667785,0.03671,NS,3,10,F,238,0.8,34
17,50545,961097,0.05259,NS,3,9,F,230,7,146
18,50690,1220677,0.04153,NS,3,10,F,207,1.5,212
19,84616,48815,1.7334,BD,24,10,F,254,3.9,155
20,55153,16885,3.26639,BD,24,10,M,256,-4.7,190
21,48829,22395,2.18035,BD,24,10,M,247,-2.8,101
22,89454,83504,1.07125,BD,24,11,F,198,4.2,214
23,37928,20323,1.86626,NS,24,10,F,237,2.5,224
24,12816,15985,0.80175,NS,24,10,M,293,3.1,151
25,23734,25895,0.91655,NS,24,10,M,288,9.7,285
26,31097,33224,0.93598,NS,24,11,F,236,5.9,380
27,35395,4142,8.54539,BD,72,11,F,251,4.1,39
28,18270,2364,7.72843,BD,72,10,F,223,4,153
29,5625,1979,2.84234,BD,72,10,M,298,12.8,164
30,7497,1659,4.51899,BD,72,10,M,260,7.3,364
31,6250,928,6.73491,NS,72,10,M,272,11,484
32,11519,2423,4.75402,NS,72,11,F,226,2.2,168
33,3184,1608,1.9801,NS,72,10,M,249,-4.4,191
34,1334,3242,0.41147,NS,72,10,F,240,6.7,159
